province_id;R;G;B;province_type;x;y;Biome_R;Biome_G;Biome_B;Biome_ID;Biome_Name
prv-000035;26;86;211;land;733.37;7.2;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000036;98;46;108;land;766.55;9.24;175;188;182;polar_ice_caps;Polar Ice Caps
prv-000037;40;180;161;land;777.79;4.19;0;0;0;high_mountains;High Mountains
prv-000038;63;124;82;land;798.78;5.99;0;0;0;high_mountains;High Mountains
prv-000039;250;128;59;land;815.51;2.96;0;0;0;high_mountains;High Mountains
prv-000040;143;186;5;land;849.23;2.99;0;0;0;high_mountains;High Mountains
prv-000041;170;244;212;land;859.59;6.88;0;0;0;high_mountains;High Mountains
prv-000042;22;198;167;land;885.63;4.4;0;0;0;high_mountains;High Mountains
prv-000043;129;166;102;land;902.06;7.53;0;0;0;high_mountains;High Mountains
prv-000044;170;31;209;land;929.22;8.27;0;0;0;high_mountains;High Mountains
prv-000045;236;146;187;land;952.2;5.86;0;0;0;high_mountains;High Mountains
prv-000046;128;231;56;land;971.97;5.63;0;0;0;high_mountains;High Mountains
prv-000047;24;189;139;land;996.5;6.22;0;0;0;high_mountains;High Mountains
prv-000048;33;99;127;land;1008.07;5.12;0;0;0;high_mountains;High Mountains
prv-000049;10;92;218;land;1032.07;4.42;0;0;0;high_mountains;High Mountains
prv-000050;200;201;182;land;1051.67;6.89;0;0;0;high_mountains;High Mountains
prv-000051;98;241;239;land;1076.75;3.6;0;0;0;high_mountains;High Mountains
prv-000052;246;157;65;land;1097.44;5.63;0;0;0;high_mountains;High Mountains
prv-000053;193;2;173;land;1124.54;6.67;0;0;0;high_mountains;High Mountains
prv-000054;79;56;77;land;1135.85;6.3;0;0;0;high_mountains;High Mountains
prv-000055;246;213;186;land;1160.63;4.58;0;0;0;high_mountains;High Mountains
prv-000056;93;185;101;land;1187.06;4.26;0;0;0;high_mountains;High Mountains
prv-000057;16;175;209;land;1208.23;6.5;0;0;0;high_mountains;High Mountains
prv-000058;130;79;145;land;1223.8;5.76;0;0;0;high_mountains;High Mountains
prv-000059;201;150;190;land;1243.36;5.76;176;188;182;polar_ice_caps;Polar Ice Caps
prv-000060;44;83;100;land;1266.14;3.95;176;189;182;polar_ice_caps;Polar Ice Caps
prv-000061;108;95;192;land;1284.08;8.06;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000062;114;155;145;land;1307.61;3.9;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000063;116;143;235;land;1334.21;3.88;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000064;130;241;220;land;1356.12;8.93;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000065;44;12;152;land;1373.3;3.28;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000066;241;236;65;land;1392.23;3.61;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000067;200;106;143;land;1416.38;5.63;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000068;124;123;139;land;1446.51;9.95;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000069;13;148;172;land;1463.8;6.37;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000070;165;97;82;land;1482.28;4.95;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000071;243;64;120;land;1505.56;4.41;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000072;243;214;153;land;1528.54;4.47;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000073;209;126;200;land;1551.05;3.47;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000074;50;228;95;land;1577.64;7.75;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000075;169;54;51;land;1594.63;4.46;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000076;144;206;120;land;1613.37;4.5;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000077;15;201;162;land;1631.03;3.8;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000078;187;107;48;land;1648.34;7.87;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000079;27;235;227;land;1679.44;5.58;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000080;232;188;0;land;1702.26;4.37;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000081;14;111;10;land;1723.47;4.94;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000082;183;255;167;land;1738.45;8.0;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000083;191;81;141;land;1753.34;6.41;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000084;167;187;44;land;1770.49;4.27;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000085;182;11;238;land;1807.24;5.35;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000086;245;157;47;land;1825.69;8.22;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000087;157;146;4;land;1846.55;6.86;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000088;128;52;240;land;1863.37;3.63;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000089;219;147;64;land;1885.58;7.03;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000090;167;95;24;land;1901.19;6.14;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000091;188;72;91;land;1921.59;4.19;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000092;114;153;245;land;1947.76;5.01;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000093;244;252;160;land;1982.45;6.72;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000094;11;61;249;land;1998.57;4.69;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000095;115;138;14;land;2014.99;2.94;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000096;211;186;208;land;2036.9;4.88;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000097;35;172;24;land;14.2;8.34;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000098;85;241;188;land;24.03;8.78;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000099;245;129;193;land;61.8;17.18;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000100;196;213;31;land;66.53;8.91;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000101;79;241;178;land;94.61;16.64;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000102;113;40;138;land;117.31;16.19;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000103;141;80;19;land;128.63;11.7;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000104;180;214;87;land;168.48;19.4;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000105;71;163;253;land;189.6;20.63;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000106;140;251;110;land;205.36;12.94;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000107;26;166;233;land;225.15;16.74;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000108;1;219;244;land;238.43;18.03;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000109;142;139;84;land;260.18;10.72;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000110;153;238;162;land;287.04;11.02;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000111;121;39;185;land;302.19;17.48;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000112;49;29;198;land;320.51;11.56;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000113;73;18;194;land;345.68;17.08;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000114;41;186;228;land;364.15;15.82;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000115;160;179;62;land;388.07;15.08;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000116;60;44;128;land;425.81;9.51;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000117;33;224;69;land;440.91;15.03;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000118;100;238;163;land;459.55;16.58;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000119;109;244;152;land;474.85;12.82;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000120;83;218;63;land;500.73;17.59;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000121;69;162;97;land;520.94;11.96;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000122;221;211;44;land;536.26;18.73;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000123;3;174;151;land;572.44;13.38;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000124;225;201;212;land;582.78;22.44;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000125;115;218;26;land;615.84;8.6;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000126;77;1;23;land;623.49;18.06;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000127;130;15;154;land;651.24;15.72;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000128;181;168;188;land;671.51;18.56;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000129;142;98;47;land;703.89;17.82;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000130;185;116;94;land;712.52;11.58;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000131;119;165;78;land;741.96;14.4;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000132;219;36;40;land;756.16;8.66;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000133;133;249;10;land;778.96;16.66;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000134;200;247;104;land;795.48;15.52;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000135;122;140;225;land;823.05;11.51;0;0;0;high_mountains;High Mountains
prv-000136;252;32;158;land;842.43;14.16;0;0;0;high_mountains;High Mountains
prv-000137;125;219;60;land;867.54;18.63;0;0;0;high_mountains;High Mountains
prv-000138;164;146;184;land;881.33;14.13;0;0;0;high_mountains;High Mountains
prv-000139;113;106;195;land;913.46;8.79;0;0;0;high_mountains;High Mountains
prv-000140;160;170;179;land;920.07;15.07;0;0;0;high_mountains;High Mountains
prv-000141;100;188;193;land;949.42;17.31;0;0;0;high_mountains;High Mountains
prv-000142;4;5;135;land;975.71;18.29;0;0;0;high_mountains;High Mountains
prv-000143;236;105;172;land;987.07;9.63;0;0;0;high_mountains;High Mountains
prv-000144;80;202;80;land;1010.54;16.59;0;0;0;high_mountains;High Mountains
prv-000145;134;153;15;land;1026.97;14.34;0;0;0;high_mountains;High Mountains
prv-000146;224;204;121;land;1066.35;12.59;0;0;0;high_mountains;High Mountains
prv-000147;14;253;114;land;1085.25;17.79;0;0;0;high_mountains;High Mountains
prv-000148;24;163;113;land;1102.46;18.37;0;0;0;high_mountains;High Mountains
prv-000149;79;20;210;land;1115.27;11.36;0;0;0;high_mountains;High Mountains
prv-000150;133;1;147;land;1146.3;15.66;0;0;0;high_mountains;High Mountains
prv-000151;186;125;249;land;1167.16;19.8;0;0;0;high_mountains;High Mountains
prv-000152;175;55;92;land;1179.91;13.69;0;0;0;high_mountains;High Mountains
prv-000153;178;239;158;land;1199.55;16.75;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000154;77;149;145;land;1224.96;20.67;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000155;29;79;249;land;1241.17;16.52;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000156;249;35;16;land;1275.34;16.46;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000157;9;67;215;land;1294.25;12.39;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000158;107;248;15;land;1310.84;14.09;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000159;224;207;111;land;1325.82;13.0;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000160;15;141;101;land;1345.72;11.8;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000161;253;119;154;land;1368.01;13.23;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000162;136;18;228;land;1392.59;13.61;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000163;114;206;11;land;1412.88;15.45;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000164;143;18;30;land;1434.38;12.09;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000165;149;118;226;land;1458.6;21.81;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000166;237;183;13;land;1480.28;19.01;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000167;196;29;254;land;1497.4;13.36;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000168;99;69;28;land;1523.58;16.18;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000169;231;121;141;land;1550.54;12.76;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000170;203;201;159;land;1566.23;13.66;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000171;204;26;182;land;1598.76;20.81;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000172;85;43;191;land;1604.3;11.77;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000173;213;17;190;land;1626.52;16.99;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000174;90;235;11;land;1662.19;13.17;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000175;191;144;10;land;1681.0;19.01;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000176;56;232;158;land;1702.48;17.94;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000177;176;124;94;land;1706.7;10.84;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000178;143;194;32;land;1744.44;17.82;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000179;251;235;35;land;1768.97;17.58;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000180;61;147;146;land;1786.79;10.93;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000181;178;201;231;land;1805.68;17.7;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000182;201;42;11;land;1819.09;20.14;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000183;248;243;230;land;1835.75;11.68;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000184;92;4;83;land;1866.08;12.85;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000185;72;56;230;land;1880.71;20.73;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000186;2;140;12;land;1910.43;14.73;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000187;146;65;150;land;1932.74;14.91;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000188;109;24;232;land;1950.65;14.75;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000189;102;124;225;land;1969.11;9.23;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000190;77;136;10;land;1994.54;14.45;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000191;27;248;38;land;2014.57;11.97;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000192;211;168;11;land;2033.89;13.93;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000193;161;129;213;land;22.8;18.71;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000194;240;221;59;land;39.37;19.48;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000195;67;8;42;land;50.4;21.42;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000196;65;225;91;land;66.32;24.84;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000197;239;239;214;land;93.21;28.21;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000198;102;204;232;land;111.04;28.26;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000199;108;172;233;land;140.47;20.83;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000200;9;165;60;land;154.48;27.93;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000201;76;253;34;land;173.82;28.84;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000202;47;88;109;land;206.6;26.82;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000203;81;199;241;land;216.71;28.95;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000204;189;137;229;land;253.5;24.29;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000205;138;232;135;land;271.77;25.14;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000206;137;220;178;land;292.66;27.23;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000207;27;70;65;land;308.53;29.72;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000208;228;244;216;land;324.74;26.0;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000209;179;72;154;land;351.04;31.6;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000210;68;184;162;land;371.11;25.6;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000211;40;114;18;land;397.36;25.23;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000212;1;146;203;land;416.58;26.69;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000213;44;166;109;land;431.54;21.2;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000214;0;24;95;land;463.14;26.62;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000215;221;233;52;land;478.83;27.35;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000216;250;235;57;land;511.91;27.43;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000217;189;219;253;land;522.94;24.11;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000218;149;251;230;land;545.28;31.02;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000219;38;176;173;land;558.47;22.33;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000220;202;228;144;land;595.19;21.52;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000221;91;116;124;land;597.7;30.43;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000222;104;96;88;land;617.68;24.26;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000223;87;227;133;land;656.5;29.29;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000224;211;138;130;land;678.56;28.61;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000225;220;154;143;land;697.89;25.87;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000226;228;172;214;land;721.07;27.3;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000227;104;127;65;land;738.23;27.5;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000228;168;169;147;land;755.44;22.86;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000229;137;225;88;land;773.03;28.36;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000230;152;2;225;land;801.07;23.53;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000231;52;140;29;land;824.79;32.34;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000232;166;148;219;land;838.92;27.22;0;0;0;high_mountains;High Mountains
prv-000233;25;24;19;land;861.37;29.86;0;0;0;high_mountains;High Mountains
prv-000234;116;204;78;land;893.55;24.88;0;0;0;high_mountains;High Mountains
prv-000235;172;127;254;land;910.39;24.23;0;0;0;high_mountains;High Mountains
prv-000236;137;211;243;land;920.5;25.13;0;0;0;high_mountains;High Mountains
prv-000237;200;122;52;land;941.23;27.21;0;0;0;high_mountains;High Mountains
prv-000238;166;105;72;land;972.11;26.93;0;0;0;high_mountains;High Mountains
prv-000239;212;3;63;land;993.14;26.74;0;0;0;high_mountains;High Mountains
prv-000240;227;168;99;land;1011.38;28.81;0;0;0;high_mountains;High Mountains
prv-000241;114;56;34;land;1035.13;27.91;0;0;0;high_mountains;High Mountains
prv-000242;189;22;112;land;1051.82;21.93;0;0;0;high_mountains;High Mountains
prv-000243;230;120;166;land;1075.13;27.77;0;0;0;high_mountains;High Mountains
prv-000244;251;23;144;land;1105.5;27.89;0;0;0;high_mountains;High Mountains
prv-000245;252;104;108;land;1125.7;29.26;0;0;0;high_mountains;High Mountains
prv-000246;182;64;138;land;1139.65;26.26;0;0;0;high_mountains;High Mountains
prv-000247;79;194;64;land;1159.48;26.6;0;0;0;high_mountains;High Mountains
prv-000248;134;167;233;land;1183.48;27.08;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000249;181;242;254;land;1197.4;28.55;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000250;101;52;184;land;1215.38;22.67;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000251;24;141;250;land;1246.64;26.8;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000252;216;144;234;land;1262.68;20.92;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000253;149;65;108;land;1287.41;29.05;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000254;74;113;231;land;1314.86;26.45;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000255;45;206;236;land;1342.21;28.87;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000256;113;183;172;land;1352.29;27.15;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000257;193;191;111;land;1377.97;26.6;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000258;128;89;245;land;1402.3;24.72;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000259;51;153;44;land;1422.58;21.83;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000260;242;238;22;land;1436.43;29.22;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000261;122;87;144;land;1470.8;17.64;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000262;191;215;158;land;1472.02;26.67;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000263;215;86;33;land;1496.21;27.18;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000264;29;97;138;land;1525.43;28.06;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000265;191;80;174;land;1545.16;22.4;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000266;102;52;16;land;1560.68;27.68;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000267;146;148;237;land;1587.02;23.89;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000268;172;246;14;land;1610.51;25.23;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000269;237;79;141;land;1638.56;24.74;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000270;147;99;196;land;1650.27;23.76;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000271;252;200;172;land;1672.81;24.05;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000272;26;111;35;land;1690.26;22.21;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000273;35;49;100;land;1719.95;22.06;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000274;134;249;32;land;1742.02;27.33;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000275;56;236;235;land;1761.78;28.16;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000276;164;210;103;land;1789.01;27.61;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000277;28;131;197;land;1801.76;27.26;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000278;134;178;111;land;1830.65;28.16;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000279;147;12;129;land;1845.59;23.99;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000280;99;255;122;land;1858.41;24.32;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000281;129;113;211;land;1895.07;29.32;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000282;197;159;125;land;1908.97;25.2;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000283;34;190;195;land;1923.81;21.64;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000284;62;161;108;land;1952.13;21.88;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000285;189;10;115;land;1968.91;21.36;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000286;77;109;60;land;1983.34;19.3;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000287;237;217;161;land;2006.24;18.42;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000288;57;187;101;land;2024.83;18.75;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000289;170;215;87;land;79.42;28.95;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000290;68;100;118;land;103.19;32.57;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000291;13;49;33;land;123.91;31.94;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000292;254;187;13;land;139.45;34.54;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000293;25;177;134;land;165.01;36.09;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000294;29;165;17;land;180.4;36.44;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000295;45;36;109;land;196.17;33.64;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000296;22;170;57;land;229.03;31.95;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000297;49;19;178;land;244.3;36.57;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000298;123;132;141;land;264.39;34.91;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000299;207;182;39;land;281.72;36.68;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000300;12;171;192;land;318.07;40.67;171;183;177;polar_ice_caps;Polar Ice Caps
